timestep,robot_id,x,y,yaw
1844,khiv24,-1.70528,0.256572,2.33394
1844,khiv25,-1.87484,0.514237,1.84584
1844,khiv26,-1.40873,1.90928,0.651168
1844,khiv27,-0.565361,0.222784,-2.44835
1844,khiv28,-0.313698,2.20752,-0.43619
1844,khiv29,-0.836638,2.20326,0.286595
1844,khiv3,-0.267726,1.23327,0.491344
1844,khiv4,-1.215,0.0196339,3.03595
1844,khiv5,-0.154191,2.09483,-0.824186
1844,khiv6,-1.65393,1.6829,0.977053
1844,khiv7,-1.53742,1.80192,0.8041
1844,khiv8,-0.392009,0.226189,-2.53898
1844,khiv9,-0.634718,0.100333,-2.77773
1845,khiv0,-1.90514,0.953713,1.3564
1845,khiv1,-0.0330487,1.37489,-2.35575
1845,khiv10,-1.23023,2.02508,0.52504
1845,khiv11,-0.634381,2.21946,-0.282392
1845,khiv12,-0.1971,0.366103,-2.39175
1845,khiv13,0.0653973,1.79495,-1.4473
1845,khiv14,-1.92956,0.814055,1.5164
1845,khiv15,-0.50846,2.28341,-0.254172
1845,khiv16,-1.80921,1.46419,1.13961
1845,khiv17,-0.143256,1.28741,-2.58704
1845,khiv18,-1.57268,0.131197,2.54874
1845,khiv19,-1.98052,1.07311,1.39753
1845,khiv2,0.0552614,1.50209,-1.98135
1845,khiv20,-1.92846,1.21107,1.26124
1845,khiv21,-0.0161736,0.537326,-2.30678
1845,khiv22,0.223568,0.963651,-1.9134
1845,khiv23,-0.907132,0.0275222,-3.026
1845,khiv24,-1.70878,0.26028,2.27133
1845,khiv25,-1.87647,0.519906,1.88948
1845,khiv26,-1.40405,1.91288,0.694812
1845,khiv27,-0.56927,0.219576,-2.51096
1845,khiv28,-0.309087,2.20534,-0.498809
1845,khiv29,-0.831737,2.20467,0.223977
1845,khiv3,-0.272392,1.23159,0.534987
1845,khiv4,-1.22006,0.0202054,2.97334
1845,khiv5,-0.150162,2.09052,-0.780543
1845,khiv6,-1.65105,1.68711,0.914435
1845,khiv7,-1.53335,1.80619,0.847743
1845,khiv8,-0.396967,0.22281,-2.48205
1845,khiv9,-0.640323,0.098091,-2.73408
1846,khiv0,-1.90384,0.95957,1.41333
1846,khiv1,-0.0371997,1.37068,-2.29882
1846,khiv10,-1.22514,2.02806,0.568684
1846,khiv11,-0.62957,2.2181,-0.358294
1846,khiv12,-0.201509,0.362033,-2.33482
1846,khiv13,0.0659995,1.78989,-1.50992
1846,khiv14,-1.92921,0.820044,1.57332
1846,khiv15,-0.502742,2.28195,-0.210528
1846,khiv16,-1.80705,1.46881,1.077
1846,khiv17,-0.148254,1.28427,-2.5434
1846,khiv18,-1.57689,0.134068,2.48612
1846,khiv19,-1.97961,1.07813,1.33491
1846,khiv2,0.053195,1.49742,-2.04397
1846,khiv20,-1.92661,1.21678,1.31817
1846,khiv21,-0.0201105,0.532933,-2.26314
1846,khiv22,0.22183,0.958857,-1.97602
1846,khiv23,-0.912988,0.0268108,-2.98236
1846,khiv24,-1.71261,0.26477,2.31497
1846,khiv25,-1.87804,0.524757,1.82686
1846,khiv26,-1.39943,1.9167,0.751737
1846,khiv27,-0.573382,0.216516,-2.46732
1846,khiv28,-0.303892,2.20254,-0.455165
1846,khiv29,-0.82687,2.20581,0.148076
1846,khiv3,-0.276502,1.22645,0.591913
1846,khiv4,-1.225,0.0210118,2.89743
